step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
36,0,663.7333374023438,619.6666870117188,161.35333251953125,0.0,0.0,288.6875,216.9375,0.0,211.52406311035156,0.0,0.9722954630851746,0.9857167601585388,0.0,0.0,0.0,11.65237808227539,5.414626121520996,3.905125856399536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025624999776482582,0.01640624925494194,0.0,0.06953124701976776,0.0,0,0,128,0,0
37,0,813.32666015625,481.6866760253906,182.64666748046875,0.0,0.0,291.0625,190.5625,0.0,211.52406311035156,0.0,0.975311815738678,0.9861709475517273,0.0,0.0,0.0,11.797451972961426,5.4954938888549805,3.9558610916137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.014843749813735485,0.0,0.06953124701976776,0.0,0,0,128,0,0
38,0,674.0933227539062,544.2466430664062,193.8333282470703,0.0,0.0,291.0625,164.1875,27.233125686645508,211.52406311035156,0.0,0.9777358770370483,0.9865397214889526,1.0,0.0,0.0,11.903849601745605,5.601065635681152,4.002139091491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.0012499999720603228,0.06953124701976776,0.0,0,0,128,0,0
39,0,524.3800048828125,1075.893310546875,127.0999984741211,0.0,0.0,291.0625,164.1875,29.766250610351562,211.52406311035156,0.0,0.9797264933586121,0.9868893623352051,1.0,0.0,0.0,11.968659400939941,5.8543171882629395,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.0024999999441206455,0.06953124701976776,0.0,0,0,128,0,0
40,0,653.1666870117188,1195.219970703125,75.12000274658203,0.0,0.0,291.0625,164.1875,139.96531677246094,211.52406311035156,0.0,0.9813903570175171,0.9872212409973145,0.6707769632339478,0.0,0.0,12.069244384765625,6.1407151222229,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.008124999701976776,0.06953124701976776,0.0,0,0,128,0,0
41,0,634.1266479492188,1036.0,87.67333221435547,0.0,0.0,291.0625,164.1875,147.56468200683594,211.52406311035156,0.0,0.9828017950057983,0.9875367879867554,0.6379505395889282,0.0,0.0,12.16454029083252,6.382885456085205,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.011874999850988388,0.06953124701976776,0.0,0,0,128,0,0
42,0,552.4199829101562,490.260009765625,109.35333251953125,0.0,0.0,291.0625,164.1875,148.8312530517578,208.99093627929688,0.0,0.9840142726898193,0.9878370761871338,0.6671510338783264,0.0,0.0,12.237138748168945,6.473461151123047,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.012500000186264515,0.06796874850988388,0.0,0,0,128,0,0
43,0,514.7733154296875,638.5333251953125,73.5199966430664,0.0,0.0,291.0625,164.1875,150.09780883789062,206.4578094482422,0.0,0.9850670099258423,0.9881232976913452,0.6257840991020203,0.0,0.0,12.299281120300293,6.605223655700684,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.013124999590218067,0.06640625,0.0,0,0,128,0,0
44,0,597.82666015625,1054.5533447265625,8.166666984558105,0.0,0.0,291.0625,164.1875,153.8975067138672,211.52406311035156,0.0,0.9859896898269653,0.9883963465690613,0.5152438282966614,0.0,0.0,12.384492874145508,6.852547645568848,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.014999999664723873,0.06953124701976776,0.0,0,0,128,0,0
45,0,593.7333374023438,1074.4666748046875,0.0,0.0,0.0,291.0625,164.1875,153.8975067138672,211.52406311035156,0.0,0.9868049621582031,0.9886570572853088,0.43188565969467163,0.0,0.0,12.468568801879883,7.105402946472168,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.014999999664723873,0.06953124701976776,0.0,0,0,128,0,0
46,0,618.0999755859375,1009.8800048828125,0.0,0.0,0.0,291.0625,164.1875,161.4968719482422,211.52406311035156,0.0,0.9875305891036987,0.9889063835144043,0.3692047595977783,0.0,0.0,12.559412002563477,7.340317726135254,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.01875000074505806,0.06953124701976776,0.0,0,0,128,0,0
